AppID,Name,Release date,Estimated owners,Price,Supported languages,Metacritic score,User score,Positive,Negative,Recommendations,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Steam score,Lower,Upper,Earnings Range
1337010,Alba: A Wildlife Adventure,"Dec 11, 2020",50000 - 100000,16.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Portuguese', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish', 'Dutch', 'Korean']",79,0,3084,68,2782,252,298,ustwo games,"ustwo games,PID Games","Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Casual",98,50000,100000,"(849499.9999999999, 1698999.9999999998)"
48700,Mount & Blade: Warband,"Mar 31, 2010",2000000 - 5000000,19.99,"['English', 'Czech', 'French', 'German', 'Hungarian', 'Polish', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Spain', 'Turkish']",78,0,140048,3220,111835,6334,1931,TaleWorlds Entertainment,TaleWorlds Entertainment,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Workshop","Action,RPG",98,2000000,5000000,"(39980000.0, 99949999.99999999)"
447530,VA-11 Hall-A: Cyberpunk Bartender Action,"Jun 21, 2016",500000 - 1000000,14.99,"['English', 'Japanese', 'Simplified Chinese']",77,0,28716,676,25432,502,337,Sukeban Games,"Ysbryd Games,AGM PLAYISM","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet","Adventure,Indie,Simulation",98,500000,1000000,"(7495000.0, 14990000.0)"
288160,The Room,"Jul 28, 2014",500000 - 1000000,4.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil']",73,0,20504,467,19950,177,157,Fireproof Games,Fireproof Games,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Indie",98,500000,1000000,"(2495000.0, 4990000.0)"
341800,Keep Talking and Nobody Explodes,"Oct 8, 2015",1000000 - 2000000,14.99,"['English', 'Japanese', 'Spanish - Spain', 'Dutch', 'Polish', 'Romanian', 'Turkish', 'Spanish - Latin America', 'Italian', 'Finnish', 'Norwegian', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'French', 'German', 'Arabic', 'Czech', 'Danish', 'Hungarian', 'Korean', 'Portuguese', 'Swedish', 'Thai', 'Traditional Chinese', 'Ukrainian']",71,0,10774,234,9167,216,154,Steel Crate Games,Steel Crate Games,"Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,VR Support,Steam Workshop,Stats,Steam Leaderboards,Remote Play on TV,Remote Play Together",Indie,98,1000000,2000000,"(14990000.0, 29980000.0)"
260750,Neighbours from Hell Compilation,"Nov 7, 2013",200000 - 500000,0.0,"['English', 'French', 'German', 'Spanish - Spain', 'Hungarian', 'Polish', 'Russian', 'Simplified Chinese', 'Italian']",69,0,2544,63,1861,99,72,JoWooD Vienna,HandyGames,"Single-player,Steam Cloud","Adventure,Casual",98,200000,500000,"(0.0, 0.0)"
1687950,Persona 5 Royal,"Oct 20, 2022",200000 - 500000,59.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",97,0,3588,102,3906,381,493,ATLUS,SEGA,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",RPG,97,200000,500000,"(11998000.0, 29995000.0)"
220,Half-Life 2,"Nov 16, 2004",10000000 - 20000000,9.99,"['English', 'French', 'German', 'Italian', 'Korean', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Dutch', 'Danish', 'Finnish', 'Japanese', 'Norwegian', 'Polish', 'Portuguese', 'Swedish', 'Thai']",96,0,142368,3687,110892,606,311,Valve,Valve,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK,Remote Play on Phone,Remote Play on Tablet,Remote Play Together",Action,97,10000000,20000000,"(99900000.0, 199800000.0)"
70,Half-Life,"Nov 8, 1998",5000000 - 10000000,9.99,"['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Korean']",96,0,73346,2619,60686,459,127,Valve,Valve,"Single-player,Multi-player,PvP,Online PvP,Steam Cloud,Valve Anti-Cheat enabled,Remote Play on Phone,Remote Play on Tablet,Remote Play Together",Action,97,5000000,10000000,"(49950000.0, 99900000.0)"
1593500,God of War,"Jan 14, 2022",2000000 - 5000000,49.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Turkish', 'Traditional Chinese', 'Czech', 'Hungarian', 'Greek']",93,0,51719,1621,37609,1855,1491,Santa Monica Studio,PlayStation PC LLC,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV","Action,Adventure,RPG",97,2000000,5000000,"(99980000.0, 249950000.0)"
